"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"600",0,0,1523,1280,0,0,0,0
"700",0,0,520,1785,0,0,0,0
"800",0,0,1692,1558,0,0,0,0
"900",-1,0,3579,2141,0,0,350,0
"1000",-3,0,8245,4889,0,0,250,450
"1100",-1,-2,7310,3088,0,0,0,5370
"1200",-254,-12,14098,7844,0,0,9178,5400
"1300",-2071,-1555,11289,11557,0,0,22794,8457
"1400",-3065,-2066,11966,10676,-250,0,11407,15435
"1500",-10329,-5555,9245,7888,-6,0,9102,5750
"1600",-6226,-6214,6662,7287,-20427,-1778,4494,5625
"1700",-24884,-18198,3442,5333,-30557,-2264,0,113
"1800",-25953,-19992,3391,2082,-48128,-23850,1000,1523
"1900",-10977,-8489,1058,313,-19481,-3300,0,0
"2000",-7935,-13058,37,1,-9076,-3500,0,0
"2100",-3483,-5094,0,7,-3552,-2650,0,0
"2200",-4966,-5219,203,4,-2800,-154,0,0
"2300",-4278,-3536,0,0,-12565,-250,0,0
"2400",-2009,-1893,177,0,-9250,-750,0,0
"2500",-724,-1348,190,0,-2022,-4750,0,0
"2600",-1044,-2048,36,0,-1700,-5750,0,0
"2800",-1985,-2515,0,0,-1055,-3000,0,0
"3000",-1006,-1701,0,0,-1000,-9250,0,0
"3200",-463,-1029,0,0,0,0,0,0
"3400",-82,-829,0,0,0,0,0,0
"3600",-34,-326,0,0,0,0,0,0
