"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"900",0,0,25,0,0,0,0,0
"1000",0,-5,10,0,0,0,0,0
"1100",-43,-25,19,121,0,0,0,0
"1200",-20,0,177,391,0,0,0,0
"1300",-10,-27,1712,1550,0,0,0,250
"1350",0,0,410,1612,0,0,2300,2500
"1400",-2,-42,4092,5880,0,0,875,1250
"1450",-9,-19,2958,5159,0,0,0,250
"1500",-141,-166,6967,8001,0,0,1334,20450
"1550",-375,-362,8779,8526,0,0,750,19908
"1600",-489,-1686,13616,17612,-1563,0,20357,8500
"1650",-5555,-4475,10416,7157,-1625,-3000,5475,2167
"1700",-12648,-14234,3351,2901,-9475,-7997,4250,6000
"1750",-17104,-24564,879,214,-5375,-2250,0,0
"1800",-20762,-20684,87,55,-2900,-9500,0,0
"1900",-17039,-14949,0,0,-3500,-4000,0,0
"1950",-621,-1372,0,0,-2300,-3000,0,0
"2000",-4277,-3943,0,1,-300,-3750,0,0
"2100",-864,-1002,0,0,0,0,0,0
"2200",-673,-739,0,0,0,0,0,0
"2400",-535,0,0,0,0,0,0,0
"2600",-1,0,0,0,0,0,0,0
